keyword,original_keyword,status,cluster,suggested_content_type,suggested_url,reason,kd,volume,traffic_potential,cpc,priority_tier,reject_reason,caution_flag
magnesium glycinate vs citrate,magnesium glycinate vs citrate,Existing-page optimization,Existing Magnesium optimization,existing page optimization,/guides/magnesium-glycinate-vs-citrate,existing published guide target,6,33000,28000,0.02,Tier 1 — immediate opportunity,,
best vitamin d supplement,best vitamin d supplement,New category candidate,Vitamin D,category hub,/supplements/vitamin-d,strong human supplement category,5,24000,1700,0.90,Tier 1 — immediate opportunity,,
magnesium citrate vs glycinate,magnesium citrate vs glycinate,Existing-page optimization,Existing Magnesium optimization,existing page optimization,/guides/magnesium-glycinate-vs-citrate,existing published guide target,5,16000,28000,0.03,Tier 1 — immediate opportunity,,
best vitamin c supplement,best vitamin c supplement,New category candidate,Vitamin C,category hub,/supplements/vitamin-c,strong human supplement category,5,8100,49000,0.70,Tier 1 — immediate opportunity,,
best b12 supplement,best b12 supplement,New category candidate,Vitamin B12,category hub,/supplements/vitamin-b12,strong human supplement category,10,7700,1900,0.70,Tier 1 — immediate opportunity,,
best coq10 supplement,best coq10 supplement,New category candidate,CoQ10 / Ubiquinol,category hub,/supplements/coq10,strong human supplement category,3,6100,13000,0.80,Tier 1 — immediate opportunity,,
lmnt vs liquid iv,lmnt vs liquid iv,New guide candidate,Electrolytes,comparison page,/guides/lmnt-vs-liquid-iv,strong branded electrolyte comparison intent,0,2600,1100,0.60,Tier 1 — immediate opportunity,,
best vitamin b12 supplement,best vitamin b12 supplement,New category candidate,Vitamin B12,category hub,/supplements/vitamin-b12,strong human supplement category,0,1900,1000,0.70,Tier 1 — immediate opportunity,,
liposomal vitamin c supplement,liposomal vitamin c supplement,New category candidate,Vitamin C,category hub,/supplements/vitamin-c,strong human supplement category,2,700,5500,0.90,Tier 1 — immediate opportunity,,
best vitamin c supplement for women,best vitamin c supplement for women,New category candidate,Vitamin C,category hub,/supplements/vitamin-c,strong human supplement category,3,350,28000,0.60,Tier 1 — immediate opportunity,,
best ubiquinol supplement,best ubiquinol supplement,New category candidate,CoQ10 / Ubiquinol,category hub,/supplements/coq10,strong human supplement category,0,300,600,0.60,Tier 1 — immediate opportunity,,
best l arginine supplement,best l arginine supplement,New category candidate,Citrulline / Arginine,category hub,/supplements/citrulline,strong human supplement category,3,300,59000,0.60,Tier 1 — immediate opportunity,,
supplement collagen,supplement collagen,New category candidate,Collagen,category hub,/supplements/collagen,strong human supplement category,9,250,118000,0.80,Tier 1 — immediate opportunity,,
best l glutamine supplement,best l glutamine supplement,New category candidate,L-Glutamine,category hub,/supplements/l-glutamine,strong human supplement category,3,250,18000,0.50,Tier 1 — immediate opportunity,,
best l reuteri supplement,best l reuteri supplement,New category candidate,Probiotics,category hub,/supplements/probiotics,strong human supplement category,3,150,60,0.80,Tier 1 — immediate opportunity,,
best vitamin c supplement for absorption,best vitamin c supplement for absorption,New category candidate,Vitamin C,category hub,/supplements/vitamin-c,strong human supplement category,4,150,53000,0.70,Tier 1 — immediate opportunity,,
best natural vitamin c supplement,best natural vitamin c supplement,New category candidate,Vitamin C,category hub,/supplements/vitamin-c,strong human supplement category,1,150,10,0.80,Tier 1 — immediate opportunity,,
best l methylfolate supplement,best l methylfolate supplement,New category candidate,Vitamin B12,category hub,/supplements/vitamin-b12,strong human supplement category,0,100,13000,0.35,Tier 1 — immediate opportunity,,
best vitamin d2 supplement,best vitamin d2 supplement,New category candidate,Vitamin D,category hub,/supplements/vitamin-d,strong human supplement category,2,80,8200,0.40,Tier 1 — immediate opportunity,,
best supplement for fiber,best supplement for fiber,New category candidate,Fiber,category hub,/supplements/fiber,strong human supplement category,10,70,32000,,Tier 1 — immediate opportunity,,
best omega 7 supplement,best omega 7 supplement,New category candidate,Fish Oil / Omega-3,category hub,/supplements/omega-3,strong human supplement category,0,60,1000,0.35,Tier 1 — immediate opportunity,,
p 5 p supplement,p 5 p supplement,New category candidate,Vitamin B12,category hub,/supplements/vitamin-b12,strong human supplement category,0,50,1300,,Tier 1 — immediate opportunity,,
best brand vitamin c supplement,best brand vitamin c supplement,New category candidate,Vitamin C,category hub,/supplements/vitamin-c,strong human supplement category,9,50,,,Tier 1 — immediate opportunity,,
vitamin c best supplement,vitamin c best supplement,New category candidate,Vitamin C,category hub,/supplements/vitamin-c,strong human supplement category,9,40,53000,0.90,Tier 1 — immediate opportunity,,
best supplement collagen,best supplement collagen,New category candidate,Collagen,category hub,/supplements/collagen,strong human supplement category,6,10,26000,,Tier 1 — immediate opportunity,,
best vitamin e supplement,best vitamin e supplement,New category candidate,Vitamin E,category hub,/supplements/vitamin-e,strong human supplement category,1,1500,1400,0.50,Tier 2 — strong next category,,
best quercetin supplement,best quercetin supplement,New category candidate,Quercetin,category hub,/supplements/quercetin,strong human supplement category,1,1400,1000,1.00,Tier 2 — strong next category,,
best iron supplements,best iron supplements,New category candidate,Iron,category hub,/supplements/iron,strong human supplement category,6,1300,11000,0.30,Tier 2 — strong next category,,
l methylfolate supplement,l methylfolate supplement,New category candidate,Vitamin B12,category hub,/supplements/vitamin-b12,strong human supplement category,7,1100,100,0.80,Tier 2 — strong next category,,
best l theanine supplement,best l theanine supplement,New category candidate,L-Theanine / L-Tyrosine,category hub,/supplements/l-theanine,strong human supplement category,5,1100,1100,0.80,Tier 2 — strong next category,,
l tyrosine supplement,l tyrosine supplement,New category candidate,L-Theanine / L-Tyrosine,category hub,/supplements/l-theanine,strong human supplement category,2,1000,300,0.90,Tier 2 — strong next category,,
l reuteri supplement,l reuteri supplement,New category candidate,Probiotics,category hub,/supplements/probiotics,strong human supplement category,3,600,450,0.50,Tier 2 — strong next category,,
mk7 supplement,mk7 supplement,New category candidate,Vitamin D,category hub,/supplements/vitamin-d,strong human supplement category,6,600,5500,0.50,Tier 2 — strong next category,,
best l carnitine supplement,best l carnitine supplement,New category candidate,L-Carnitine,category hub,/supplements/l-carnitine,strong human supplement category,1,500,1500,0.45,Tier 2 — strong next category,,
best zma supplement,best zma supplement,New category candidate,Magnesium (related),category hub,,strong human supplement category,10,400,250,0.80,Tier 2 — strong next category,,
natural vitamin c supplement,natural vitamin c supplement,New category candidate,Vitamin C,category hub,/supplements/vitamin-c,strong human supplement category,7,350,600,1.10,Tier 2 — strong next category,,
best zinc supplement for testosterone,best zinc supplement for testosterone,Caution,Zinc,category hub,/supplements/zinc,strong human supplement category; conservative framing required,10,350,300,0.50,Tier 2 — strong next category,,Caution — requires conservative framing
best l citrulline supplement,best l citrulline supplement,New category candidate,Citrulline / Arginine,category hub,/supplements/citrulline,strong human supplement category,0,300,600,0.80,Tier 2 — strong next category,,
omega 7 supplement,omega 7 supplement,New category candidate,Fish Oil / Omega-3,category hub,/supplements/omega-3,strong human supplement category,1,250,200,0.45,Tier 2 — strong next category,,
mag 7 supplement,mag 7 supplement,New category candidate,Magnesium (related),category hub,,strong human supplement category,2,200,5900,0.30,Tier 2 — strong next category,,
vitamin d supplement with k2,vitamin d supplement with k2,New category candidate,Vitamin D,category hub,/supplements/vitamin-d,strong human supplement category,10,150,5400,0.70,Tier 2 — strong next category,,
best l lysine supplement,best l lysine supplement,New category candidate,Lysine,category hub,/supplements/lysine,strong human supplement category,3,150,500,0.45,Tier 2 — strong next category,,
supplement dim,supplement dim,New category candidate,Dim,category hub,/supplements/dim,strong human supplement category,5,100,10000,0.80,Tier 2 — strong next category,,
is omega 9 good for you,is omega 9 good for you,New category candidate,Fish Oil / Omega-3,category hub,/supplements/omega-3,strong human supplement category,5,100,900,,Tier 2 — strong next category,,
supplement astaxanthin,supplement astaxanthin,New category candidate,Astaxanthin,category hub,/supplements/astaxanthin,strong human supplement category,5,100,37000,1.00,Tier 2 — strong next category,,
supplement brands to avoid,supplement brands to avoid,New category candidate,General supplement education,category hub,,strong human supplement category,3,90,7500,0.06,Tier 2 — strong next category,,
omega 9 supplements,omega 9 supplements,New category candidate,Fish Oil / Omega-3,category hub,/supplements/omega-3,strong human supplement category,3,80,50,0.30,Tier 2 — strong next category,,
l supplements,l supplements,Keep,Uncategorized,guide,,general supplement research intent,1,50,50,0.70,Tier 2 — strong next category,,
gf 9 supplement,gf 9 supplement,Keep,Uncategorized,guide,,general supplement research intent,0,40,3000,0.35,Tier 2 — strong next category,,
best r lipoic acid supplement,best r lipoic acid supplement,New category candidate,Alpha Lipoic Acid,category hub,/supplements/alpha-lipoic-acid,strong human supplement category,1,30,150,0.25,Tier 2 — strong next category,,
j crow's iodine dosage,j crow's iodine dosage,New category candidate,Iodine,category hub,/supplements/iodine,strong human supplement category,1,30,2000,0.80,Tier 2 — strong next category,,
supplement lysine,supplement lysine,New category candidate,Lysine,category hub,/supplements/lysine,strong human supplement category,3,30,10000,0.30,Tier 2 — strong next category,,
best supplement brands on amazon,best supplement brands on amazon,New category candidate,General supplement education,category hub,,strong human supplement category,4,20,900,1.40,Tier 2 — strong next category,,
